gateway_row_id,payment_id,order_id,customer_id,gross_amount,fee_amount,tax_amount,expected_net_amount,currency,payment_time,status
gw_00048,pay_00047,order_100047,cust_3085,3543.42,86.47,15.56,3441.39,INR,2026-08-05T08:02:00,captured
gw_00083,pay_00080,order_100080,cust_1986,2025.95,34.6,6.23,1985.12,INR,2026-08-06T04:14:00,captured
gw_00082,pay_00079,order_100079,cust_5066,2340.56,44.85,8.07,2287.64,INR,2026-08-06T12:15:00,captured
gw_00019,pay_00019,order_100019,cust_5061,4081.06,62.07,11.17,4007.82,INR,2026-08-06T14:40:00,captured
gw_00025,pay_00025,order_100025,cust_9856,641.97,15.58,2.8,623.59,INR,2026-08-06T18:05:00,captured
gw_00068,pay_00065,order_100065,cust_4249,1645.59,38.35,6.9,1600.34,INR,2026-08-06T21:37:00,captured
gw_00075,pay_00072,order_100072,cust_1282,1924.29,36.65,6.6,1881.04,INR,2026-08-06T21:52:00,captured
gw_00029,pay_00029,order_100029,cust_2113,4253.4,103.85,18.69,4130.86,INR,2026-08-06T23:27:00,captured
gw_00012,pay_00012,order_100012,cust_2040,6704.38,167.35,30.12,6506.91,INR,2026-08-07T02:18:00,captured
gw_00036,pay_00036,order_100036,cust_1722,458.33,7.47,1.34,449.52,INR,2026-08-07T08:03:00,captured
gw_00010,pay_00010,order_100010,cust_8517,2740.26,47.86,8.61,2683.79,INR,2026-08-07T08:29:00,captured
gw_00071,pay_00068,order_100068,cust_8921,8016.44,178.85,32.19,7805.4,INR,2026-08-07T11:34:00,captured
gw_00055,pay_00054,order_100054,cust_8373,4646.75,108.73,19.57,4518.45,INR,2026-08-07T16:26:00,captured
gw_00080,pay_00077,order_100077,cust_3068,8442.1,127.67,22.98,8291.45,INR,2026-08-07T20:17:00,captured
gw_00013,pay_00013,order_100013,cust_9797,4771.77,87.81,15.81,4668.15,INR,2026-08-08T01:17:00,captured
gw_00014,pay_00014,order_100014,cust_9201,3327.51,53.45,9.62,3264.44,INR,2026-08-08T03:59:00,captured
gw_00058,pay_00057,order_100057,cust_1320,6632.48,162.01,29.16,6441.31,INR,2026-08-08T04:04:00,captured
gw_00047,pay_00046,order_100046,cust_6409,5543.66,90.06,16.21,5437.39,INR,2026-08-08T05:00:00,captured
gw_00033,pay_00033,order_100033,cust_5002,6454.28,125.1,22.52,6306.66,INR,2026-08-08T06:12:00,captured
gw_00030,pay_00030,order_100030,cust_9565,5583.93,95.16,17.13,5471.64,INR,2026-08-08T12:35:00,captured
gw_00009,pay_00009,order_100009,cust_7572,4786.07,115.49,20.79,4649.79,INR,2026-08-08T12:51:00,captured
gw_00049,pay_00048,order_100048,cust_4443,7443.79,156.82,28.23,7258.74,INR,2026-08-08T16:59:00,captured
gw_00042,pay_00042,order_100042,cust_4728,4052.02,68.61,12.35,3971.06,INR,2026-08-08T20:16:00,captured
gw_00020,pay_00020,order_100020,cust_1964,4150.07,63.55,11.44,4075.08,INR,2026-08-08T21:27:00,captured
gw_00076,pay_00073,order_100073,cust_9698,6032.43,135.48,24.39,5872.56,INR,2026-08-08T21:39:00,captured
gw_00043,pay_00043,order_100043,cust_9346,6948.68,162.85,29.31,6756.52,INR,2026-08-08T21:51:00,captured
gw_00044,pay_00043,order_100043,cust_9346,6948.68,162.85,29.31,6756.52,INR,2026-08-08T21:51:00,captured
gw_00050,pay_00049,order_100049,cust_3780,1789.28,38.72,6.97,1743.59,INR,2026-08-09T00:03:00,captured
gw_00073,pay_00070,order_100070,cust_3979,8388.21,192.75,34.7,8160.76,INR,2026-08-09T02:52:00,captured
gw_00004,pay_00004,order_100004,cust_2674,1919.38,35.68,6.42,1877.28,INR,2026-08-09T04:50:00,captured
gw_00045,pay_00044,order_100044,cust_3925,4749.04,99.57,17.92,4631.55,INR,2026-08-09T05:47:00,captured
gw_00032,pay_00032,order_100032,cust_2200,3892.51,63.54,11.44,3817.53,INR,2026-08-09T07:36:00,captured
gw_00005,pay_00005,order_100005,cust_2291,5203.83,110.24,19.84,5073.75,INR,2026-08-09T14:30:00,captured
gw_00018,pay_00018,order_100018,cust_9835,3695.71,70.18,12.63,3612.9,INR,2026-08-09T20:56:00,captured
gw_00072,pay_00069,order_100069,cust_8385,4395.75,90.99,16.38,4288.38,INR,2026-08-09T23:58:00,captured
gw_00063,pay_00061,order_100061,cust_4467,7849.33,177.49,31.95,7639.89,INR,2026-08-10T00:03:00,captured
gw_00006,pay_00006,order_100006,cust_5741,1707.86,40.42,7.28,1660.16,INR,2026-08-10T00:35:00,captured
gw_00026,pay_00026,order_100026,cust_7570,1360.16,20.43,3.68,1336.05,INR,2026-08-10T06:13:00,captured
gw_00039,pay_00039,order_100039,cust_4441,4488.67,83.21,14.98,4390.48,INR,2026-08-10T14:56:00,captured
gw_00040,pay_00040,order_100040,cust_4878,3062.98,70.78,12.74,2979.46,INR,2026-08-10T18:10:00,captured
gw_00003,pay_00003,order_100003,cust_5557,506.76,8.41,1.51,496.84,INR,2026-08-10T23:48:00,captured
gw_00022,pay_00022,order_100022,cust_4119,1945.1,37.56,6.76,1900.78,INR,2026-08-11T00:19:00,captured
gw_00070,pay_00067,order_100067,cust_9031,2129.43,39.65,7.14,2082.64,INR,2026-08-11T20:04:00,captured
gw_00062,pay_00060,order_100060,cust_1444,1775.64,29.04,5.23,1741.37,INR,2026-08-11T21:08:00,captured
gw_00041,pay_00041,order_100041,cust_3608,2171.38,33.41,6.01,2131.96,INR,2026-08-12T02:03:00,captured
gw_00021,pay_00021,order_100021,cust_9834,2567.72,61.17,11.01,2495.54,INR,2026-08-12T03:08:00,captured
gw_00065,pay_00063,order_100063,cust_4266,733.62,12.75,2.29,718.58,INR,2026-08-12T03:37:00,captured
gw_00051,pay_00050,order_100050,cust_4680,3662.15,56.62,10.19,3595.34,INR,2026-08-12T04:29:00,captured
gw_00059,pay_00058,order_100058,cust_9947,4013.49,71.16,12.81,3929.52,INR,2026-08-12T10:13:00,captured
gw_00074,pay_00071,order_100071,cust_9464,3530.09,78.37,14.11,3437.61,INR,2026-08-12T11:49:00,captured
gw_00054,pay_00053,order_100053,cust_8612,5598.95,133.89,24.1,5440.96,INR,2026-08-12T20:40:00,captured
gw_00002,pay_00002,order_100002,cust_7912,920.03,15.81,2.85,901.37,INR,2026-08-12T20:59:00,captured
gw_00053,pay_00052,order_100052,cust_2746,7365.22,169.7,30.55,7164.97,INR,2026-08-13T03:52:00,captured
gw_00078,pay_00075,order_100075,cust_8933,4930.72,122.11,21.98,4786.63,INR,2026-08-13T07:31:00,captured
