payment_id,order_id,customer_id,gross_amount,fee_amount,tax_amount,expected_net_amount,payment_time,candidate_bank_row_ids,matched_bank_row_ids,candidate_bank_total,matched_amount,settlement_lag_days,predicted_status,likely_cause,recommended_action,explanation_source,ground_truth_status,truth_case,is_correct
pay_00011,order_100011,cust_3266,8748.49,197.35,35.52,8515.62,2026-08-03T20:52:00,bk_00014,bk_00014,8515.62,8515.62,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00012,order_100012,cust_2040,6704.38,167.35,30.12,6506.91,2026-08-07T02:18:00,bk_00015;bk_00016,,13013.82,0.0,,EXCEPTION_DUPLICATE_BANK,The bank file contains duplicate-looking settlement rows for the same payment reference. It is unsafe to auto-match because this could be a duplicate export row or an actual duplicate credit.,"Verify the UTR and bank statement, confirm whether one row is an export duplicate, and only then mark a single row as the true settlement.",rule_based,EXCEPTION_DUPLICATE_BANK,DUPLICATE_BANK,True
pay_00013,order_100013,cust_9797,4771.77,87.81,15.81,4668.15,2026-08-08T01:17:00,bk_00017,bk_00017,4668.15,4668.15,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00014,order_100014,cust_9201,3327.51,53.45,9.62,3264.44,2026-08-08T03:59:00,,,0.0,0.0,,EXCEPTION_MISSING_SETTLEMENT,"The payment exists in the gateway file but no matching bank payout row was found. This usually means delayed settlement, incomplete bank export, payout hold, or payout failure.","Check whether the bank export covers the expected settlement date, and verify if the payout is pending, held, or failed. Escalate only after the allowed settlement lag is exceeded.",rule_based,EXCEPTION_MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
pay_00015,order_100015,cust_9317,3658.15,82.77,14.9,3560.48,2026-08-01T09:18:00,bk_00018,bk_00018,3560.48,3560.48,5.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00016,order_100016,cust_4923,1349.24,27.89,5.02,1316.33,2026-08-03T04:00:00,bk_00019,bk_00019,1316.33,1316.33,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00017,order_100017,cust_9727,2460.13,48.59,8.75,2402.79,2026-08-05T03:10:00,bk_00020,bk_00020,2402.79,2402.79,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00018,order_100018,cust_9835,3695.71,70.18,12.63,3612.9,2026-08-09T20:56:00,bk_00021,bk_00021,3612.9,3612.9,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00019,order_100019,cust_5061,4081.06,62.07,11.17,4007.82,2026-08-06T14:40:00,bk_00022,bk_00022,4007.82,4007.82,2.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00020,order_100020,cust_1964,4150.07,63.55,11.44,4075.08,2026-08-08T21:27:00,bk_00023,bk_00023,4075.08,4075.08,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00021,order_100021,cust_9834,2567.72,61.17,11.01,2495.54,2026-08-12T03:08:00,bk_00024,bk_00024,2495.54,2495.54,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00022,order_100022,cust_4119,1945.1,37.56,6.76,1900.78,2026-08-11T00:19:00,bk_00025,bk_00025,1900.78,1900.78,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00023,order_100023,cust_2612,1393.4,25.63,4.61,1363.16,2026-08-03T20:40:00,bk_00026,bk_00026,1363.16,1363.16,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00024,order_100024,cust_3296,7312.18,143.51,25.83,7142.84,2026-08-03T02:10:00,bk_00027,bk_00027,7142.84,7142.84,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00025,order_100025,cust_9856,641.97,15.58,2.8,623.59,2026-08-06T18:05:00,bk_00028,bk_00028,623.59,623.59,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00026,order_100026,cust_7570,1360.16,20.43,3.68,1336.05,2026-08-10T06:13:00,bk_00029,bk_00029,1336.05,1336.05,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00027,order_100027,cust_8973,2936.19,50.43,9.08,2876.68,2026-08-02T16:56:00,bk_00030,bk_00030,2876.68,2876.68,2.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00028,order_100028,cust_8811,8638.92,175.47,31.58,8431.87,2026-08-02T16:03:00,bk_00031;bk_00032,,16863.74,0.0,,EXCEPTION_DUPLICATE_BANK,The bank file contains duplicate-looking settlement rows for the same payment reference. It is unsafe to auto-match because this could be a duplicate export row or an actual duplicate credit.,"Verify the UTR and bank statement, confirm whether one row is an export duplicate, and only then mark a single row as the true settlement.",rule_based,EXCEPTION_DUPLICATE_BANK,DUPLICATE_BANK,True
pay_00029,order_100029,cust_2113,4253.4,103.85,18.69,4130.86,2026-08-06T23:27:00,bk_00033,bk_00033,4130.86,4130.86,2.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00030,order_100030,cust_9565,5583.93,95.16,17.13,5471.64,2026-08-08T12:35:00,bk_00034,bk_00034,5471.64,5471.64,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00031,order_100031,cust_8491,5580.93,135.94,24.47,5420.52,2026-08-01T14:05:00,bk_00035,bk_00035,5420.52,5420.52,1.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00032,order_100032,cust_2200,3892.51,63.54,11.44,3817.53,2026-08-09T07:36:00,,,0.0,0.0,,EXCEPTION_MISSING_SETTLEMENT,"The payment exists in the gateway file but no matching bank payout row was found. This usually means delayed settlement, incomplete bank export, payout hold, or payout failure.","Check whether the bank export covers the expected settlement date, and verify if the payout is pending, held, or failed. Escalate only after the allowed settlement lag is exceeded.",rule_based,EXCEPTION_MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
pay_00033,order_100033,cust_5002,6454.28,125.1,22.52,6306.66,2026-08-08T06:12:00,bk_00036;bk_00037,bk_00036;bk_00037,6306.66,6306.66,3.0,MATCHED_SPLIT,,,,MATCHED_SPLIT,SPLIT_SETTLEMENT,True
pay_00034,order_100034,cust_2697,2600.26,62.14,11.19,2526.93,2026-08-04T21:53:00,bk_00038,bk_00038,2526.93,2526.93,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00035,order_100035,cust_4335,4725.51,82.75,14.89,4627.87,2026-08-02T12:44:00,bk_00039,bk_00039,4627.87,4627.87,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00036,order_100036,cust_1722,458.33,7.47,1.34,449.52,2026-08-07T08:03:00,bk_00040,bk_00040,449.52,449.52,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00037,order_100037,cust_1158,2232.08,53.19,9.57,2169.32,2026-08-04T18:24:00,bk_00041,bk_00041,2169.32,2169.32,4.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00038,order_100038,cust_1685,5450.36,132.61,23.87,5293.88,2026-08-02T06:47:00,,,0.0,0.0,,EXCEPTION_MISSING_SETTLEMENT,"The payment exists in the gateway file but no matching bank payout row was found. This usually means delayed settlement, incomplete bank export, payout hold, or payout failure.","Check whether the bank export covers the expected settlement date, and verify if the payout is pending, held, or failed. Escalate only after the allowed settlement lag is exceeded.",rule_based,EXCEPTION_MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
pay_00039,order_100039,cust_4441,4488.67,83.21,14.98,4390.48,2026-08-10T14:56:00,bk_00042;bk_00043,,8780.96,0.0,,EXCEPTION_DUPLICATE_BANK,The bank file contains duplicate-looking settlement rows for the same payment reference. It is unsafe to auto-match because this could be a duplicate export row or an actual duplicate credit.,"Verify the UTR and bank statement, confirm whether one row is an export duplicate, and only then mark a single row as the true settlement.",rule_based,EXCEPTION_DUPLICATE_BANK,DUPLICATE_BANK,True
pay_00040,order_100040,cust_4878,3062.98,70.78,12.74,2979.46,2026-08-10T18:10:00,bk_00044,bk_00044,2979.46,2979.46,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00041,order_100041,cust_3608,2171.38,33.41,6.01,2131.96,2026-08-12T02:03:00,bk_00045,bk_00045,2131.96,2131.96,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00042,order_100042,cust_4728,4052.02,68.61,12.35,3971.06,2026-08-08T20:16:00,bk_00046,bk_00046,3971.06,3971.06,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00043,order_100043,cust_9346,6948.68,162.85,29.31,6756.52,2026-08-08T21:51:00,bk_00047,,6756.52,0.0,,EXCEPTION_DUPLICATE_GATEWAY,"The same payment_id appears more than once in the gateway input. This usually comes from duplicate ingestion, replayed jobs, or repeated exports.","Deduplicate the gateway data on payment_id, identify the upstream source of duplicate rows, and keep one canonical record with an audit note.",rule_based,EXCEPTION_DUPLICATE_GATEWAY,DUPLICATE_GATEWAY,True
pay_00044,order_100044,cust_3925,4749.04,99.57,17.92,4631.55,2026-08-09T05:47:00,bk_00048,,4716.83,0.0,,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",rule_based,EXCEPTION_AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
pay_00045,order_100045,cust_7311,3514.25,77.62,13.97,3422.66,2026-08-01T09:55:00,bk_00049,bk_00049,3422.66,3422.66,3.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00046,order_100046,cust_6409,5543.66,90.06,16.21,5437.39,2026-08-08T05:00:00,bk_00050,bk_00050,5437.39,5437.39,5.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00047,order_100047,cust_3085,3543.42,86.47,15.56,3441.39,2026-08-05T08:02:00,bk_00051;bk_00052,bk_00051;bk_00052,3441.39,3441.39,3.0,MATCHED_SPLIT,,,,MATCHED_SPLIT,SPLIT_SETTLEMENT,True
pay_00048,order_100048,cust_4443,7443.79,156.82,28.23,7258.74,2026-08-08T16:59:00,bk_00053,bk_00053,7258.74,7258.74,5.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00049,order_100049,cust_3780,1789.28,38.72,6.97,1743.59,2026-08-09T00:03:00,bk_00054,bk_00054,1743.59,1743.59,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00050,order_100050,cust_4680,3662.15,56.62,10.19,3595.34,2026-08-12T04:29:00,bk_00055;bk_00056,bk_00055;bk_00056,3595.34,3595.34,2.0,MATCHED_SPLIT,,,,MATCHED_SPLIT,SPLIT_SETTLEMENT,True
pay_00051,order_100051,cust_9099,6947.24,149.79,26.96,6770.49,2026-08-01T12:01:00,,,0.0,0.0,,EXCEPTION_MISSING_SETTLEMENT,"The payment exists in the gateway file but no matching bank payout row was found. This usually means delayed settlement, incomplete bank export, payout hold, or payout failure.","Check whether the bank export covers the expected settlement date, and verify if the payout is pending, held, or failed. Escalate only after the allowed settlement lag is exceeded.",rule_based,EXCEPTION_MISSING_SETTLEMENT,MISSING_SETTLEMENT,True
pay_00052,order_100052,cust_2746,7365.22,169.7,30.55,7164.97,2026-08-13T03:52:00,bk_00057,bk_00057,7164.97,7164.97,3.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00053,order_100053,cust_8612,5598.95,133.89,24.1,5440.96,2026-08-12T20:40:00,bk_00058,bk_00058,5440.96,5440.96,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00054,order_100054,cust_8373,4646.75,108.73,19.57,4518.45,2026-08-07T16:26:00,bk_00059,,4653.56,0.0,,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",rule_based,EXCEPTION_AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
pay_00055,order_100055,cust_2269,5081.23,93.28,16.79,4971.16,2026-08-03T05:00:00,bk_00060,bk_00060,4971.16,4971.16,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00056,order_100056,cust_7797,7078.33,139.15,25.05,6914.13,2026-08-02T19:00:00,bk_00061,bk_00061,6914.13,6914.13,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00057,order_100057,cust_1320,6632.48,162.01,29.16,6441.31,2026-08-08T04:04:00,bk_00062,,6656.14,0.0,,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",rule_based,EXCEPTION_AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
pay_00058,order_100058,cust_9947,4013.49,71.16,12.81,3929.52,2026-08-12T10:13:00,bk_00063,bk_00063,3929.52,3929.52,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00059,order_100059,cust_3704,8057.92,199.89,35.98,7822.05,2026-08-01T23:43:00,bk_00064,,7822.05,0.0,,EXCEPTION_DUPLICATE_GATEWAY,"The same payment_id appears more than once in the gateway input. This usually comes from duplicate ingestion, replayed jobs, or repeated exports.","Deduplicate the gateway data on payment_id, identify the upstream source of duplicate rows, and keep one canonical record with an audit note.",rule_based,EXCEPTION_DUPLICATE_GATEWAY,DUPLICATE_GATEWAY,True
pay_00060,order_100060,cust_1444,1775.64,29.04,5.23,1741.37,2026-08-11T21:08:00,bk_00065,bk_00065,1741.37,1741.37,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00061,order_100061,cust_4467,7849.33,177.49,31.95,7639.89,2026-08-10T00:03:00,bk_00066,bk_00066,7639.89,7639.89,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00062,order_100062,cust_1317,1254.0,23.2,4.18,1226.62,2026-08-02T22:28:00,bk_00067,,1393.04,0.0,,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",rule_based,EXCEPTION_AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
pay_00063,order_100063,cust_4266,733.62,12.75,2.29,718.58,2026-08-12T03:37:00,bk_00068;bk_00069,bk_00068;bk_00069,718.58,718.58,1.0,MATCHED_SPLIT,,,,MATCHED_SPLIT,SPLIT_SETTLEMENT,True
pay_00064,order_100064,cust_2876,3083.96,49.59,8.93,3025.44,2026-08-01T23:01:00,bk_00070,,3025.44,0.0,,EXCEPTION_DUPLICATE_GATEWAY,"The same payment_id appears more than once in the gateway input. This usually comes from duplicate ingestion, replayed jobs, or repeated exports.","Deduplicate the gateway data on payment_id, identify the upstream source of duplicate rows, and keep one canonical record with an audit note.",rule_based,EXCEPTION_DUPLICATE_GATEWAY,DUPLICATE_GATEWAY,True
pay_00065,order_100065,cust_4249,1645.59,38.35,6.9,1600.34,2026-08-06T21:37:00,bk_00071,bk_00071,1600.34,1600.34,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00066,order_100066,cust_1672,6088.53,131.6,23.69,5933.24,2026-08-02T22:39:00,bk_00072,bk_00072,5933.24,5933.24,4.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00067,order_100067,cust_9031,2129.43,39.65,7.14,2082.64,2026-08-11T20:04:00,bk_00073;bk_00074,bk_00073;bk_00074,2082.64,2082.64,3.0,MATCHED_SPLIT,,,,MATCHED_SPLIT,SPLIT_SETTLEMENT,True
pay_00068,order_100068,cust_8921,8016.44,178.85,32.19,7805.4,2026-08-07T11:34:00,bk_00075,bk_00075,7805.4,7805.4,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00069,order_100069,cust_8385,4395.75,90.99,16.38,4288.38,2026-08-09T23:58:00,bk_00076,bk_00076,4288.38,4288.38,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00070,order_100070,cust_3979,8388.21,192.75,34.7,8160.76,2026-08-09T02:52:00,bk_00077,bk_00077,8160.76,8160.76,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00071,order_100071,cust_9464,3530.09,78.37,14.11,3437.61,2026-08-12T11:49:00,bk_00078,bk_00078,3437.61,3437.61,3.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00072,order_100072,cust_1282,1924.29,36.65,6.6,1881.04,2026-08-06T21:52:00,bk_00079,bk_00079,1881.04,1881.04,1.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00073,order_100073,cust_9698,6032.43,135.48,24.39,5872.56,2026-08-08T21:39:00,bk_00080,bk_00080,5872.56,5872.56,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00074,order_100074,cust_5118,4177.12,70.7,12.73,4093.69,2026-08-04T02:17:00,bk_00081,,4331.9,0.0,,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",rule_based,EXCEPTION_AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
pay_00075,order_100075,cust_8933,4930.72,122.11,21.98,4786.63,2026-08-13T07:31:00,bk_00082,bk_00082,4786.63,4786.63,2.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00076,order_100076,cust_6912,3339.3,73.73,13.27,3252.3,2026-08-04T06:07:00,bk_00083,bk_00083,3252.3,3252.3,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
pay_00077,order_100077,cust_3068,8442.1,127.67,22.98,8291.45,2026-08-07T20:17:00,bk_00084,bk_00084,8291.45,8291.45,5.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00078,order_100078,cust_8827,2269.82,43.14,7.77,2218.91,2026-08-03T01:27:00,bk_00085,bk_00085,2218.91,2218.91,2.0,MATCHED_DELAYED,,,,MATCHED_DELAYED,DELAYED_MATCH,True
pay_00079,order_100079,cust_5066,2340.56,44.85,8.07,2287.64,2026-08-06T12:15:00,bk_00086,,2388.93,0.0,,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",rule_based,EXCEPTION_AMOUNT_MISMATCH,AMOUNT_MISMATCH,True
pay_00080,order_100080,cust_1986,2025.95,34.6,6.23,1985.12,2026-08-06T04:14:00,bk_00087,bk_00087,1985.12,1985.12,0.0,MATCHED_EXACT,,,,MATCHED_EXACT,EXACT_MATCH,True
